ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
165124,SANTA_ANITA,20150102,200000,-76.9714,-12.043,253,38.85,5.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165125,SANTA_ANITA,20150102,210000,-76.9714,-12.043,253,37.36,11,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165126,SANTA_ANITA,20150102,220000,-76.9714,-12.043,253,37.65,11.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165127,SANTA_ANITA,20150102,230000,-76.9714,-12.043,253,50.39,13.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165128,SANTA_ANITA,20150103,0,-76.9714,-12.043,253,41.77,12.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165129,SANTA_ANITA,20150103,10000,-76.9714,-12.043,253,38.83,10.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165130,SANTA_ANITA,20150103,20000,-76.9714,-12.043,253,60.57,13.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165131,SANTA_ANITA,20150103,30000,-76.9714,-12.043,253,66.42,15.5,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165132,SANTA_ANITA,20150103,40000,-76.9714,-12.043,253,74.94,19.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165133,SANTA_ANITA,20150103,50000,-76.9714,-12.043,253,63.55,17.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165134,SANTA_ANITA,20150103,60000,-76.9714,-12.043,253,57.46,13.6,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165135,SANTA_ANITA,20150103,70000,-76.9714,-12.043,253,51.1,12.1,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165136,SANTA_ANITA,20150103,80000,-76.9714,-12.043,253,44.99,8.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165137,SANTA_ANITA,20150103,90000,-76.9714,-12.043,253,45.64,7.8,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165138,SANTA_ANITA,20150103,100000,-76.9714,-12.043,253,51.48,12.3,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165139,SANTA_ANITA,20150103,110000,-76.9714,-12.043,253,60.03,13.2,,LIMA,LIMA,SANTA_ANITA,150137,20240531
165140,SANTA_ANITA,20150103,120000,-76.9714,-12.043,253,91.11,16.7,,LIMA,LIMA,SANTA_ANITA,150137,20240531
