,valor
Días con cobertura suficiente,795.0
Días sobre el ECA peruano (50 µg/m³),82.0
Porcentaje sobre el ECA,10.314465408805033
Días sobre la guía OMS (15 µg/m³),739.0
Porcentaje sobre la guía OMS,92.95597484276729
Media diaria máxima,94.85375
