fecha_hora,PM10,PM2_5,NO2
2022-01-01,17.741935483870968,17.741935483870968,17.741935483870968
2022-02-01,2.5297619047619047,2.5297619047619047,1.3392857142857142
2022-03-01,0.0,0.0,0.0
2022-04-01,1.5277777777777777,1.5277777777777777,1.6666666666666667
2022-05-01,4.032258064516129,4.032258064516129,4.435483870967742
2022-06-01,9.722222222222223,9.722222222222223,10.833333333333334
2022-07-01,3.763440860215054,3.763440860215054,3.8978494623655915
2022-08-01,2.6881720430107525,2.6881720430107525,2.82258064516129
2022-09-01,4.166666666666666,4.166666666666666,4.583333333333333
2022-10-01,11.827956989247312,11.827956989247312,8.870967741935484
2022-11-01,0.0,0.0,0.0
2022-12-01,13.172043010752688,13.172043010752688,12.768817204301076
2023-01-01,0.0,0.0,0.0
2023-02-01,5.952380952380952,5.952380952380952,5.952380952380952
2023-03-01,13.5752688172043,13.5752688172043,13.5752688172043
2023-04-01,7.083333333333333,7.083333333333333,3.3333333333333335
2023-05-01,0.0,0.0,0.0
2023-06-01,99.30555555555556,0.0,0.0
2023-07-01,24.596774193548388,23.9247311827957,1.747311827956989
2023-08-01,5.241935483870968,5.241935483870968,0.0
2023-09-01,2.638888888888889,2.638888888888889,2.638888888888889
2023-10-01,0.0,0.0,0.0
2023-11-01,0.8333333333333334,0.8333333333333334,0.8333333333333334
2023-12-01,0.0,0.0,99.32795698924731
2024-01-01,2.0161290322580645,2.0161290322580645,2.6881720430107525
2024-02-01,0.0,0.0,0.0
2024-03-01,7.258064516129033,7.258064516129033,8.064516129032258
2024-04-01,0.8333333333333334,0.8333333333333334,0.0
