,valor
Horas con PM2.5 mayor que PM10,0.0
Horas con ambas mediciones,18671.0
Racha máxima de valores idénticos consecutivos,2.0
Saltos horarios mayores a 50 µg/m³,49.0
Mayor salto horario observado,121.02000000000001
