fecha_hora,horas_esperadas,mediciones,media,mediana,faltantes,cobertura_pct
2022-01-01,744,612,20.647728758169933,18.455,132,82.25806451612904
2022-02-01,672,655,21.525129770992365,20.17,17,97.4702380952381
2022-03-01,744,744,22.20236559139785,21.439999999999998,0,100.0
2022-04-01,720,709,31.588970380818058,26.96,11,98.47222222222223
2022-05-01,744,714,51.9646918767507,45.47,30,95.96774193548387
2022-06-01,720,650,53.74141538461538,48.2,70,90.27777777777777
2022-07-01,744,716,48.50048882681564,45.57,28,96.23655913978494
2022-08-01,744,724,54.02016574585635,49.165,20,97.31182795698925
2022-09-01,720,690,48.02760869565218,44.375,30,95.83333333333333
2022-10-01,744,656,45.194375,40.79,88,88.17204301075269
2022-11-01,720,720,34.01070833333333,31.47,0,100.0
2022-12-01,744,646,31.99859133126935,28.98,98,86.82795698924731
2023-01-01,744,744,25.55396505376344,23.81,0,100.0
2023-02-01,672,632,19.59514240506329,18.32,40,94.04761904761905
2023-03-01,744,643,17.90737169517885,15.69,101,86.4247311827957
2023-04-01,720,669,17.531524663677132,15.65,51,92.91666666666667
2023-05-01,744,744,27.094731182795698,25.975,0,100.0
2023-06-01,720,720,25.927666666666664,24.174999999999997,0,100.0
2023-07-01,744,566,25.964840989399296,24.505000000000003,178,76.0752688172043
2023-08-01,744,705,24.847148936170214,23.26,39,94.75806451612904
2023-09-01,720,701,24.667323823109847,22.98,19,97.36111111111111
2023-10-01,744,744,23.316336357526882,22.04,0,100.0
2023-11-01,720,714,28.011108193277312,26.245,6,99.16666666666667
2023-12-01,744,744,24.270735887096777,22.82,0,100.0
2024-01-01,744,729,17.518995198902605,16.14,15,97.98387096774194
2024-02-01,696,696,15.218864942528736,14.59,0,100.0
2024-03-01,744,690,18.029287952898553,16.825,54,92.74193548387096
2024-04-01,720,714,20.060686274509806,17.655,6,99.16666666666667
