anio,mediciones,media,mediana,desviacion,maximo
2022,8236,38.78916100048568,33.765,21.915306453257614,191.5
2023,8326,23.826033749699736,22.41,10.158669108891706,125.3
2024,2829,17.719058390774126,16.1,8.705878598923887,101.9
