,count,mean,median,q25,q75,horas_esperadas,cobertura_pct
Lun,2763,28.44136319218241,23.59,16.92,34.205,2928,94.36475409836065
Mar,2824,29.34785888810198,24.765,17.62,35.962500000000006,2928,96.44808743169399
Mié,2711,27.731946237550716,23.94,16.78,33.83,2904,93.35399449035813
Jue,2792,28.62124973137536,24.225,17.5475,35.0025,2904,96.14325068870524
Vie,2741,29.896911528639183,25.41,18.03,35.52,2904,94.3870523415978
Sáb,2792,31.184581303724926,25.735,18.1075,37.942499999999995,2928,95.35519125683061
Dom,2768,29.769451657333818,24.25,17.085,36.19,2928,94.53551912568307
