fecha_hora,PM10,PM2_5,NO2
2022-01-01,40.25199346405229,20.647728758169933,24.045424836601306
2022-02-01,43.180351145038166,21.525129770992365,27.318250377073905
2022-03-01,39.64918010752688,22.20236559139785,28.43172043010753
2022-04-01,51.51698166431594,31.588970380818058,31.934180790960454
2022-05-01,80.15364145658263,51.9646918767507,34.104500703234876
2022-06-01,78.2152,53.74141538461538,29.7803738317757
2022-07-01,67.5752653631285,48.50048882681564,28.054545454545455
2022-08-01,76.87736187845304,54.02016574585635,29.09917012448133
2022-09-01,70.22105797101449,48.02760869565218,29.780786026200875
2022-10-01,68.10682926829269,45.194375,30.166371681415928
2022-11-01,53.41534722222222,34.01070833333333,25.945416666666667
2022-12-01,54.86814241486068,31.99859133126935,21.75161787365177
2023-01-01,47.972930107526885,25.55396505376344,18.335456989247312
2023-02-01,31.808148734177216,19.59514240506329,15.379636075949367
2023-03-01,30.182068429237948,17.90737169517885,18.018662519440124
2023-04-01,26.67019431988042,17.531524663677132,18.53146551724138
2023-05-01,39.455927419354836,27.094731182795698,23.274193548387096
2023-06-01,31.536,25.927666666666664,28.60361111111111
2023-07-01,37.049197860962565,25.964840989399296,29.46320109439124
2023-08-01,34.19727659574468,24.847148936170214,25.369758064516127
2023-09-01,31.917791726105563,24.667323823109847,29.748502139800287
2023-10-01,29.39698051075269,23.316336357526882,27.994086021505375
2023-11-01,38.10156337535014,28.011108193277312,18.37156862745098
2023-12-01,35.192580645161286,24.270735887096777,18.62
2024-01-01,27.759821673525376,17.518995198902605,36.56740331491713
2024-02-01,25.536954022988507,15.218864942528736,42.120977011494254
2024-03-01,27.68122599637681,18.029287952898553,43.77616959064328
2024-04-01,29.261260504201683,20.060686274509806,47.42902777777778
