fecha_hora,count,mean,median,q25,q75,horas_esperadas,cobertura_pct
0,817,23.44616768665851,20.41,15.56,28.75,851,96.00470035252644
1,816,26.102473039215685,22.880000000000003,17.62,30.935,851,95.88719153936545
2,807,28.41956009913259,25.12,19.43,33.4,851,94.82961222091657
3,798,29.78389724310777,26.24,20.3975,34.38,851,93.77203290246769
4,797,30.107469259723963,26.12,19.98,34.78,851,93.6545240893067
5,798,30.11834210526316,25.689999999999998,19.060000000000002,35.465,851,93.77203290246769
6,798,30.266155388471176,25.03,18.465,35.2575,851,93.77203290246769
7,798,29.819916040100253,24.4,18.0375,34.3775,851,93.77203290246769
8,797,29.829997490589715,24.37,17.88,34.94,851,93.6545240893067
9,798,30.0846328320802,24.475,18.0225,35.52,851,93.77203290246769
10,797,31.05399372647428,24.88,17.99,36.63,851,93.6545240893067
11,796,32.36836997487437,26.34,18.872500000000002,37.2075,851,93.53701527614571
12,798,34.606841165413535,28.310000000000002,20.560000000000002,41.38249999999999,851,93.77203290246769
13,811,39.105533446362514,32.53,23.424999999999997,46.175,851,95.29964747356051
14,816,41.26587905943628,34.405,24.95,49.295,851,95.88719153936545
15,814,38.28657555282555,33.11,23.5275,46.44,851,95.65217391304348
16,815,34.61051717791411,29.84,21.245,41.400000000000006,851,95.76968272620446
17,817,30.571576499388005,26.56,18.16,37.66,851,96.00470035252644
18,818,26.99791870415648,23.085,15.01,34.7975,851,96.12220916568742
19,817,23.720671970624235,20.47,12.72,30.51,851,96.00470035252644
20,815,21.319207361963187,18.25,11.6,27.4,851,95.76968272620446
21,814,20.311907862407864,17.36,11.32,26.075,851,95.65217391304348
22,819,20.119829670329672,17.0,11.754999999999999,25.265,851,96.23971797884842
23,820,21.136653048780484,18.23,13.33,25.58,851,96.3572267920094
